"","playername","vpip","pfr","total_hands","money_won","rake","threebet","bb_per_100","total_rake_100","money_won_100","wwsf"
"1","",89.8,55.1,176,-7882,7882,NA,-68.47,0.45,-0.45,0
"2","-its_basil",60,0,5,-3248,88,0,-1299.2,0.18,-6.5,33.3
"3","""ACE""10276",30.4,21.7,184,3719,705,5,47.12,0.04,0.2,44.7
"4","""T"" MONEY515",81.8,18.2,44,5624,269,5.9,431.39,0.06,1.28,58.1
"5","""The Hyaena""",32.2,3.3,428,-8007,2292,2.6,-25.54,0.05,-0.19,36.2
"6","# 2 7",14.3,7.1,28,-2298,343,0,-82.07,0.12,-0.82,25
"7","#3lynchmob",38.2,20.6,165,848,784,8.3,33.07,0.05,0.05,47.3
"8","$$TIMENOW",25,8.3,24,-1412,312,0,-32.54,0.13,-0.59,20
"9","$0 in bank",52.3,31.4,239,-2754,2542,10.5,-52.95,0.11,-0.12,42.6
"10","$gt. Tibbs",0,0,2,-100,35,0,-25,0.18,-0.5,NA
"11","$harkMart0n",66.7,8.3,36,-2197,230,6.7,-131.78,0.06,-0.61,23.8
"12","$HIPITLOSER",40.3,21.1,3098,113086,21196,7.6,44.62,0.07,0.37,41.8
"13","$lim_Chance",10,10,10,196,6,0,39.2,0.01,0.2,100
"14","$quirrel4",0,0,1,0,2,0,0,0.02,0,NA
"15","$tack$456",0,0,3,0,0,0,0,0,0,NA
"16","*DevilDawg*9",68.1,29.8,47,-6676,352,5.6,-284.09,0.07,-1.42,25.8
"17","*HYHTA*",50,50,2,-517,23,100,-517,0.12,-2.58,0
"18","..1..",21,5.6,1062,11179,4664,0.6,21.05,0.04,0.11,43.4
"19",".aaaa.",33.8,7.5,80,-3455,596,3.1,-86.38,0.07,-0.43,20
"20",".beast.",31.5,28.8,368,1241,4244,18.6,2.84,0.12,0.03,41.7
"21",".eluu.",71.4,14.3,7,966,26,0,276,0.04,1.38,75
"22",".o0ohh_____.",38,18.2,137,-6723,726,4.2,-98.15,0.05,-0.49,43.2
"23","@japhypoker",14.7,11.9,143,-445,474,4.3,-6.74,0.03,-0.03,50
"24","@manoJyaku",25.5,8.5,47,404,150,5.6,28.66,0.03,0.09,33.3
"25","\m/ Rock \m/",21.4,21.4,14,-1100,123,0,-39.29,0.09,-0.79,0
"26","_bwukzilla_",47.1,23.5,51,-40635,914,29.4,-398.41,0.18,-7.97,30
"27","_james68",52.6,10.5,19,-2000,226,0,-210.53,0.12,-1.05,30
"28","_meat_",20,12.1,140,-6453,578,7.4,-92.19,0.04,-0.46,30
"29","_niko_",22.2,9.5,63,2610,278,4,82.86,0.04,0.41,40
"30","_tres",12.7,3.6,110,-5189,780,0,-37.25,0.07,-0.47,35.7
"31","_tw11_",0,0,8,178,27,0,11.12,0.03,0.22,100
"32","`JOYR!DE`",25.1,18.3,788,-4592,4379,8.2,-18.01,0.06,-0.06,46.7
"33","00750",0,0,4,-75,18,0,-37.5,0.04,-0.19,NA
"34","00Mell",54.5,9.1,11,1711,67,0,518.45,0.06,1.56,33.3
"35","0352mc",63.3,6.7,30,-1063,224,0,-70.87,0.07,-0.35,29.4
"36","04typesaspec",83.3,33.3,204,10513,2991,4.9,-8.73,0.15,0.52,43.1
"37","05sox",30.8,0,13,4857,202,0,747.23,0.16,3.74,100
"38","077xx",50.8,24.6,61,-3070,413,4.8,48.84,0.07,-0.5,53.6
"39","0l_Man_Rivr",20,11.4,35,-4019,388,13.3,-94.83,0.11,-1.15,16.7
"40","0marComin",20,10.2,235,-139,868,6.4,54.12,0.04,-0.01,36.4
"41","0n3T1m314681",75,22.9,48,-475,259,14.3,-32.94,0.05,-0.1,47.2
"42","0o_dubler_o0",41.9,27.9,129,12366,1067,10.8,191.72,0.08,0.96,53.3
"43","0o_dubleR_o0",37.2,27.7,148,-3875,212,6.2,8.45,0.01,-0.26,48.9
"44","0x30000",33.3,8.3,12,3220,151,0,127.92,0.13,2.68,66.7
"45","1/2persian",30.8,19.2,26,-763,213,0,-14.65,0.08,-0.29,25
"46","1/4 Jew",34.7,15.3,98,-6363,577,6.5,-64.93,0.06,-0.65,32.1
"47","1_BUSHMASTER",20.5,3.2,444,2363,2427,1.3,8.33,0.05,0.05,25.7
"48","1007Casa",43.7,1.9,206,-4804,1099,1.4,-46.64,0.05,-0.23,38.4
"49","100millphil",28.6,14.3,14,-871,65,0,-207.36,0.05,-0.62,0
"50","1010wins",47.9,18,1086,-16169,6542,3.3,-29.78,0.06,-0.15,39.2
"51","103dd1802",43.2,10.9,183,-7754,3282,1.5,7,0.18,-0.42,36.2
"52","10deep302",100,0,1,-2751,50,NA,-5502,0.5,-27.51,0
"53","10grand15",50,25,4,33,1,0,202.5,0,0.08,50
"54","10jqka",43.1,21.8,1663,-8180,11969,5.6,-6.83,0.07,-0.05,38.8
"55","10jqka155",32.6,14.7,8083,-183126,67990,6.3,-26.3,0.08,-0.23,42.3
"56","1107am",63.5,10.3,156,-17079,2053,13.2,-144.49,0.13,-1.09,37.3
"57","1111_niceguy",25,20,20,3998,411,22.2,-153.8,0.21,2,12.5
"58","111US1ON",23.1,17.2,338,-14275,2831,6,-34.97,0.08,-0.42,35.5
"59","112Maverick",77.4,6.5,62,-378,486,8,-12.19,0.08,-0.06,29.8
"60","11one11",31.9,23.2,254,-17331,3759,5.6,-47.92,0.15,-0.68,38.3
"61","11snowmen11",75,25,8,-2723,152,0,-359.12,0.19,-3.4,20
"62","1234 fifffff",16.7,7.8,90,193,67,3,21.44,0.01,0.02,45.5
"63","123tiger711a",25,0,4,-40,4,0,-100,0.01,-0.1,0
"64","123weeeeeeee",42.7,24.7,89,79575,1434,3.3,501.71,0.16,8.94,55.6
"65","1243407",26.7,8.7,150,-951,669,5.1,10.08,0.04,-0.06,42.9
"66","124921649",36,16,25,523,254,0,20.92,0.1,0.21,42.9
"67","12ifleeceyou",52,12,25,-578,45,0,-77.04,0.02,-0.23,18.2
"68","12thavedeli",18.2,0,11,171,25,0,31.09,0.02,0.16,100
"69","14k100g",29.4,10.1,1169,8868,8785,3.8,16.18,0.08,0.08,41.9
"70","1527busa",36.2,1.7,58,2667,435,0,91.97,0.08,0.46,27.3
"71","16wins",28.1,20.2,114,93,694,8.9,11.1,0.06,0.01,41.4
"72","1800G@mbIer",21.9,17,4937,-28649,29960,8.1,-3.48,0.06,-0.06,40.5
"73","187batman187",0,0,2,50,0,0,25,0,0.25,NA
"74","18814",33.3,33.3,3,-5704,59,50,-3802.67,0.2,-19.01,0
"75","18LivEviL81",100,0,1,-2813,42,0,-5626,0.42,-28.13,0
"76","1alejandro",62.3,27.9,61,-9064,562,8.7,-224,0.09,-1.49,19.4
"77","1believe1",9.1,0,11,-325,92,0,-36.36,0.08,-0.3,0
"78","1bigJoff",39.8,23.9,88,5669,478,7.7,214.74,0.05,0.64,51.7
"79","1bk988",26.2,4.2,191,-10468,1346,3.5,-79.27,0.07,-0.55,48.1
"80","1brick2brick",30.8,15.4,13,-1156,185,0,-48.31,0.14,-0.89,0
"81","1cculus85",29.2,8,933,-7697,4849,1.5,-16.5,0.05,-0.08,37.1
"82","1CEMAN1CEMAN",31.6,11.8,3865,-57354,29416,2.1,-21.26,0.08,-0.15,39.3
"83","1dendazen1",28.6,9.5,21,1187,83,33.3,56.52,0.04,0.57,33.3
"84","1djc8",28.6,9.5,21,-647,129,0,-61.62,0.06,-0.31,16.7
"85","1Eyed_Jack86",16.7,0,6,220,7,0,36.67,0.01,0.37,100
"86","1fastevoX",25.6,10.5,86,-1258,315,3.2,-48.77,0.04,-0.15,36.4
"87","1FishingLady",53.2,32.9,79,-17966,674,8,-326,0.09,-2.27,27.8
"88","1FTMARDIV",46.3,0.7,136,-12289,725,1.6,-210.57,0.05,-0.9,32.3
"89","1giantleap",32.5,6.5,77,-1933,452,0,-50.21,0.06,-0.25,32
"90","1gmguy15",38.3,8.2,329,1496,1719,3.4,8.63,0.05,0.05,46.2
"91","1HARDRIDE",53.7,7.4,95,-8298,627,6.2,-164.02,0.07,-0.87,34
"92","1I11II111III",25.3,18.4,652,15198,6684,9.7,19.17,0.1,0.23,50.8
"93","1JackReacher",21.6,12.2,74,-224,970,0,-14.73,0.13,-0.03,38.5
"94","1legged1",80,45,20,-4272,317,50,-427.2,0.16,-2.14,62.5
"95","1lunglo",100,0,1,-150,19,0,-300,0.19,-1.5,0
"96","1maBadGuy",31.7,18.9,1200,-6156,9477,6.3,-11.85,0.08,-0.05,44.1
"97","1ManWulfpaq",36.2,26.2,80,3663,221,0,93.45,0.03,0.46,50
"98","1mpetuous",40.3,18.1,310,-3462,1324,2.2,-22.34,0.04,-0.11,40
"99","1outisplenty",27.3,13.6,66,2307,658,8,69.91,0.1,0.35,42.1
"100","1pokeman",33.9,22,59,5209,472,0,88.29,0.08,0.88,50
"101","1raider23",71.1,7.9,38,-7162,296,0,-376.95,0.08,-1.88,44
"102","1romanaces1",37.3,15.7,255,-11628,1631,8.8,-108.94,0.06,-0.46,48.1
"103","1rungoood",24.2,16.5,562,-12422,3507,5.8,-45.42,0.06,-0.22,35.3
"104","1scorpion1",36.4,1.8,55,-122,391,0,-4.44,0.07,-0.02,23.8
"105","1scw888",40.2,19.6,112,-1130,347,3,-27.73,0.03,-0.1,40.5
"106","1st.p1ace",25.4,15.3,739,9234,4586,6.4,21.13,0.06,0.12,45.1
"107","1st.time7",18.8,12.5,16,66,48,0,11.38,0.03,0.04,66.7
"108","1tonyab",30.6,19.4,36,2248,302,0,124.89,0.08,0.62,53.8
"109","1toomany",50,4.5,22,487,220,0,44.27,0.1,0.22,45.5
"110","1vendetta",40,0,5,28,2,NA,140,0,0.06,50
"111","1Vulcan",31.9,10.8,232,-5880,1696,5.2,-20.81,0.07,-0.25,54.5
"112","1xeraph3",38.8,18.8,165,-4545,890,0,-36.27,0.05,-0.28,28.3
"113","2-7NLPRO",0,0,2,-100,76,0,-50,0.38,-0.5,NA
"114","2006sciontc",39.4,7.9,343,-13579,2142,4.1,-74.04,0.06,-0.4,38.8
"115","21daba21",30,10,100,-11483,662,0,-190.89,0.07,-1.15,26.9
"116","22dancerr",56.1,29.3,41,-615,248,7.1,-50.02,0.06,-0.15,40
"117","22deggs01",40.9,9.1,22,-725,318,12.5,-16.45,0.14,-0.33,62.5
"118","22Dolphins",31.6,0,19,-367,20,0,-119.47,0.01,-0.19,16.7
"119","22Rooster776",50.8,19,63,-1184,484,5.9,-65.83,0.08,-0.19,36.7
"120","22xander22",44.4,5.6,18,-2000,134,0,-222.22,0.07,-1.11,20
"121","23smy23",29.2,11.9,202,-3598,1106,2.9,-35.62,0.05,-0.18,51.9
"122","23willie",26.3,5.5,217,-9694,1408,6.4,-53.76,0.06,-0.45,40.4
"123","247...Corky",32.7,9.2,98,-21210,1309,2.6,-216.43,0.13,-2.16,41.7
"124","24redd",66.4,6.1,131,-2775,2033,4.3,-16.12,0.16,-0.21,37.2
"125","26pokergod52",71.4,7.1,14,-1210,39,0,-172.86,0.03,-0.86,22.2
"126","27jwest27",25,14.9,148,-3465,640,6.5,-61.28,0.04,-0.23,33.3
"127","2amspecial",42.5,14.6,233,-19117,2600,6.8,-138.34,0.11,-0.82,35.6
"128","2baseballdog",35.6,11.8,956,-685,6324,6.9,-3.86,0.07,-0.01,39.9
"129","2CrazyCats7",50,0,2,26,1,0,43.5,0,0.13,100
"130","2drunk2play",30,23.3,30,258,150,0,-38.47,0.05,0.09,33.3
"131","2easymoney",26.2,9.5,42,-2000,371,0,-95.24,0.09,-0.48,27.3
"132","2greats",0,0,2,0,0,0,0,0,0,NA
"133","2jeterish",37.1,13.8,477,-3536,2947,5.1,-14.83,0.06,-0.07,44.7
"134","2KElefant",27.2,14.8,81,836,436,10.3,24.35,0.05,0.1,36.4
"135","2ndsantino",70.8,50,24,-5000,279,50,-416.67,0.12,-2.08,38.5
"136","2ndSpitter86",36.8,15.8,19,-170,111,0,-8.95,0.06,-0.09,40
"137","2rare2die",45.5,18.2,11,-1311,100,14.3,-238.36,0.09,-1.19,75
"138","2tru4you",38.2,10.3,68,-378,340,0,-11.12,0.05,-0.06,26.7
"139","2tuff2bluff",51.2,16.3,43,-1179,260,6.2,-54.84,0.06,-0.27,35.3
"140","30nexus",41,21.9,105,3467,427,8.8,110.06,0.04,0.33,44.4
"141","317318087",50,50,2,365,48,NA,182.5,0.24,1.82,100
"142","31sdrawkcab",21.1,14.9,881,13583,3777,5.5,38.89,0.04,0.15,51.9
"143","321Eggnormus",45,15,20,-846,106,0,-84.6,0.05,-0.42,12.5
"144","32Leprchauns",42.9,18.6,70,2636,219,3,125.51,0.03,0.38,37.5
"145","33 Rancid 33",19.4,9.7,31,590,48,0,63.48,0.02,0.19,80
"146","3332333",14.9,8.5,47,-782,259,0,-33.28,0.06,-0.17,33.3
"147","34ortizzle",23.1,7.7,52,-1103,178,0,-42.42,0.03,-0.21,28.6
"148","360quickdrop",36.7,23.3,60,-212,268,8.7,4.45,0.04,-0.04,46.7
"149","3betbob",54.3,43.5,46,-11508,558,9.1,-500.35,0.12,-2.5,18.2
"150","3betsolight",12.5,0,8,44,52,0,11,0.06,0.06,100
"151","3betTheSet",63.9,19.3,83,-8508,589,22.9,-341.69,0.07,-1.03,43.8
"152","3Bushman",28.8,4.1,73,-752,370,0,-20.6,0.05,-0.1,31.8
"153","3grlbelize",71.4,21.4,14,-1184,123,0,-179.86,0.09,-0.85,33.3
"154","3legdonkey",75,3.1,32,-9486,359,0,-592.88,0.11,-2.96,15
"155","3lement@ry",0,0,2,-50,3,0,-50,0.02,-0.25,NA
"156","3ShotWonder",24.1,19,79,-1653,917,3.6,-20.92,0.12,-0.21,35.7
"157","3ui4vn8",22.4,12.2,49,713,207,9.5,29.1,0.04,0.15,60
"158","3web",34.3,23.9,67,10654,697,5,158.64,0.1,1.59,58.3
"159","4 turtles",33.3,0,3,137,3,0,152.33,0.01,0.46,100
"160","401kFunds",34.8,10.9,92,-3998,446,2.3,-86.91,0.05,-0.43,39.3
"161","40visionz",14.3,0,7,131,65,0,18.71,0.09,0.19,100
"162","41lax",32.3,5.1,4674,-22291,28499,2.2,-10.29,0.06,-0.05,38.9
"163","420ish",25.7,10.8,74,-6698,1009,0,-97.46,0.14,-0.91,38.9
"164","42draft",45.6,17.5,57,-996,148,12.5,-58.23,0.03,-0.17,33.3
"165","45Shocker76",41.3,4.3,46,-683,171,7.7,-49.5,0.04,-0.15,20
"166","47Linebacker",39.1,5.5,220,-3285,1462,2.4,-27.48,0.07,-0.15,21.7
"167","492Bay",66.7,5.6,18,-1260,117,20,-233.33,0.06,-0.7,23.1
"168","4Aces518",0,0,4,-75,9,0,-37.5,0.02,-0.19,NA
"169","4AQuikie",35,20,20,1691,46,0,845.5,0.02,0.85,33.3
"170","4everyongdad",0,0,1,0,2,NA,0,0.02,0,NA
"171","4gator9",16.7,16.7,6,322,39,0,53.67,0.06,0.54,50
"172","4Isabel2015",39.5,25.6,43,-5493,356,5.3,-255.49,0.08,-1.28,9.1
"173","4me2c55",41.3,10,259,4551,1931,5.1,35.14,0.07,0.18,47
"174","4Rt3m.A",26.3,13.7,315,1719,1768,6.2,-27.51,0.06,0.05,41.7
"175","4seventeen",46.6,2.1,146,-8672,1541,1.7,-110.34,0.11,-0.59,26.5
"176","4shai",40.1,24.4,439,64099,5467,16.1,96.62,0.12,1.46,46.4
"177","4Suits62",50,0,2,685,12,NA,685,0.06,3.42,100
"178","4Xavi",19.7,12.7,482,-14677,3031,0.6,-35.45,0.06,-0.3,36.4
"179","5*MetFan*5",28.6,7.1,14,-646,46,0,-92.29,0.03,-0.46,33.3
"180","5.10aznjenny",32.4,23.2,660,39930,10445,5.4,30.25,0.16,0.61,41.8
"181","50leadsled",61.7,31.7,60,-10536,676,5.3,-276.9,0.11,-1.76,25
"182","50rsnswhy",32.2,18.1,227,-2131,1933,10.8,-58.67,0.09,-0.09,45.3
"183","5aces_suited",29.3,9.8,92,551,614,0,11.98,0.07,0.06,58.3
"184","6""4 Rich24",34,9.6,94,-1921,439,2.6,-40.87,0.05,-0.2,26.1
"185","62miller62",48.4,10.8,93,631,314,0,22.61,0.03,0.07,43.2
"186","666HAg1baTOP",45,28.9,180,-11525,840,8.2,-126.84,0.05,-0.64,47.5
"187","6983dknj",52.4,23.8,21,-5265,156,11.1,-501.43,0.07,-2.51,25
"188","6dollar",60.8,25.6,2279,16516,22139,12.6,6.98,0.1,0.07,39
"189","6ix5ide",26.3,12.6,175,-6234,675,6.9,-118.55,0.04,-0.36,28.9
"190","6SPC9benn",0,0,2,0,33,0,0,0.16,0,NA
"191","6spikes5",0,0,2,0,9,0,0,0.04,0,NA
"192","7/13lucky13",0,0,1,0,9,NA,0,0.09,0,NA
"193","7_ate_9",25.6,7,43,-698,448,0,-16.23,0.1,-0.16,42.9
"194","719957",50,15,20,-2529,135,0,-252.9,0.07,-1.26,25
"195","72offsuit180",0,0,3,0,44,0,0,0.15,0,NA
"196","77777",50,0,2,-400,25,0,-200,0.12,-2,0
"197","777mikep777",83.3,30.6,108,-12389,1396,9.1,-152.13,0.13,-1.15,31.6
"198","77guerrero77",46.2,19.2,52,-11500,397,7.7,-442.31,0.08,-2.21,34.8
"199","77mikep77",83.3,22.2,18,976,246,0,108.44,0.14,0.54,50
"200","77Moriarty",7.1,0,14,-124,102,0,-8.86,0.07,-0.09,66.7
"201","7deuce615",31.8,10.7,727,-14883,4274,2.6,-51.49,0.06,-0.2,36
"202","7srujan",52.8,11.3,53,4691,278,8.3,287.26,0.05,0.89,44.8
"203","7stella28",18.3,8.5,71,2193,396,3.1,61.77,0.06,0.31,63.6
"204","7stringfury",80.3,21.7,157,-10704,1353,6.2,-136.36,0.09,-0.68,46.8
"205","8_misto",50,0,32,242,140,0,25.22,0.04,0.08,56.2
"206","801108",55.8,23.1,52,18199,746,10.5,349.98,0.14,3.5,48.1
"207","82ndABNCORPS",22.2,0,9,4700,88,0,261.11,0.1,5.22,100
"208","84MIB",25,0,20,-860,88,0,-86,0.04,-0.43,20
"209","86luby75",51.5,19.5,534,1885,3124,5.1,-0.64,0.06,0.04,45.1
"210","888lori",36.6,6.5,766,-11995,5255,3.9,-31.32,0.07,-0.16,41.3
"211","888njsurfer",50,0,2,-3000,53,0,-3000,0.26,-15,0
"212","88Phyllis",48.1,25.1,430,-44070,4887,2.5,-70.47,0.11,-1.02,40.7
"213","8bitGreatNES",50,50,2,-303,12,NA,-505,0.06,-1.51,50
"214","8ochocougar8",21.9,14.6,1391,18870,9130,3.6,12.1,0.07,0.14,37.1
"215","8OchoCougar8",21.7,15.2,92,-1040,678,6.9,-8.59,0.07,-0.11,46.7
"216","8pokerlogics",48,12.7,150,-3281,772,3.8,-43.75,0.05,-0.22,39.7
"217","90509050",75,40,20,-10695,288,33.3,-669.1,0.14,-5.35,26.7
"218","9071877",26.4,7.5,53,-1053,185,0,-39.74,0.03,-0.2,33.3
"219","9141752",39,9.8,41,954,525,0,46.54,0.13,0.23,42.9
"220","93FLHTC",31.5,2.7,558,-3923,2117,0.5,-14.06,0.04,-0.07,42.4
"221","95nasty",9.1,0,11,-155,35,0,-28.18,0.03,-0.14,33.3
"222","96_suitedd",45,13.3,60,69,22,0,57.5,0,0.01,57.1
"223","96job",0,0,14,-400,92,0,-28.57,0.07,-0.29,NA
"224","973908201",42.9,33.3,21,20,22,33.3,3.19,0.01,0.01,40
"225","97finesse",28.6,0,21,418,18,0,141.9,0.01,0.2,33.3
"226","986racer",30,15.4,597,8915,5890,3.2,-16.19,0.1,0.15,34.5
"227","99redbaloons",38.1,33.3,21,-5698,353,0,-135.67,0.17,-2.71,16.7
"228","9islive",23.2,17.8,314,-11625,1472,2.8,-25.46,0.05,-0.37,41.5
"229","9V7W3",57.1,3.6,28,-2366,165,0,-169,0.06,-0.84,31.2
"230","A-train2225",0,0,8,-200,34,0,-12.5,0.04,-0.25,0
"231","A A 5454",29.9,2.5,887,-29481,7594,0.9,-37.7,0.09,-0.33,43
"232","A Wise Fool",50,33.3,6,-3062,61,100,-510.33,0.1,-5.1,50
"233","a._.a",21.4,16,4136,8289,26960,4.4,3.44,0.07,0.02,37.9
"234","a.battea",29.3,7,642,-8993,4293,1.3,-21.54,0.07,-0.14,36.8
"235","A.Mo_ThunDa",48.2,11.8,679,-47581,8871,6.7,-88.9,0.13,-0.7,31.2
"236","a_khan11",0,0,2,-75,5,0,-75,0.02,-0.38,0
"237","a_ron26.2",32.3,9.4,1502,2769,9332,3.9,3.69,0.06,0.02,39
"238","a_shortall",0,0,2,-50,0,0,-50,0,-0.25,NA
"239","a_stormy_knight",21.9,17.4,19392,39844,165058,5,2.49,0.09,0.02,41.2
"240","A11InVin",42.6,24.6,61,-21224,723,9.1,-347.93,0.12,-3.48,23.3
"241","a13309",23.1,18.4,3991,27252,32010,5.1,20.08,0.08,0.07,45.2
"242","A21ifaces",30.2,17.6,205,2344,909,7,22.87,0.04,0.11,51.2
"243","a24020",21.1,4.5,6200,13649,43032,1.3,2.78,0.07,0.02,32.7
"244","a3839873",26.4,11.8,3035,-34795,21739,3.6,-22.87,0.07,-0.11,36.3
"245","a407king",62.5,25,8,-590,161,0,334.88,0.2,-0.74,60
"246","a7Xcountry",40.9,9.1,22,-799,76,0,-72.64,0.03,-0.36,33.3
"247","a7xxxchill",0,0,2,-200,0,0,-50,0,-1,NA
"248","a8a8a",49.2,0,65,528,276,0,16.25,0.04,0.08,35.3
"249","A9buckleyA9",50,0,2,-300,10,NA,-300,0.05,-1.5,0
"250","AA5454",32.2,1.4,3265,-145919,31443,0.6,-49.06,0.1,-0.45,37.6
"251","aa545454",41.9,0,31,-856,271,0,-55.23,0.09,-0.28,57.1
"252","aaaa1986",63,14.8,27,-2436,207,0,-180.44,0.08,-0.9,44.4
"253","AAAA2222",33.1,9.4,139,-7627,926,4.9,-101.45,0.07,-0.55,24.4
"254","AAAhustla",31.5,15.3,111,19724,1622,2.7,124.37,0.15,1.78,53.1
"255","aaakkjason",35.8,15.8,95,4299,673,10.7,90.51,0.07,0.45,50
"256","AAAKKjason",40.6,19.4,1481,-69371,13970,8.8,-72.28,0.09,-0.47,40
"257","AAcrackers",58.9,10.9,1990,-26961,18139,2.4,-23.25,0.09,-0.14,36.8
"258","AAdriannnn",16.7,16.7,6,-130,3,NA,-43.33,0,-0.22,100
"259","Aadvani100",41.5,11.1,306,-23176,3487,1.9,-72.2,0.11,-0.76,41.2
"260","aafitis",36.8,13.2,38,1318,893,5.9,-114.24,0.24,0.35,56.2
"261","AAHONDOAA",71.4,30.6,49,7454,675,14.3,152.12,0.14,1.52,42.9
"262","aaironworks",38,20.7,92,-26174,1386,3.8,-142.25,0.15,-2.85,28.6
"263","aaitsme",24.1,5.6,54,-588,358,0,-10.89,0.07,-0.11,60
"264","aajnj",25.3,16.9,562,33759,3295,5.9,97.91,0.06,0.6,54.5
"265","AAKK312",20.8,16.7,24,-983,190,20,-40.96,0.08,-0.41,60
"266","AAKKiah",60.2,26.4,261,12142,3919,8.2,25.48,0.15,0.47,39.6
"267","aalex0324",41.5,9.4,106,-6016,1062,10,-65.61,0.1,-0.57,29.3
"268","AALITTLEGIRL",46.1,15.8,152,-3030,1052,12.5,-30.29,0.07,-0.2,40.7
"269","aammmm",69,41.4,29,-18774,385,22.2,-647.38,0.13,-6.47,42.1
"270","aaninja66667",40.6,15.9,69,2696,334,14.3,78.14,0.05,0.39,61.5
"271","aanturkar",0,0,1,-50,0,0,-50,0,-0.5,NA
"272","Aaplao",100,0,1,897,20,NA,897,0.2,8.97,100
"273","Aaprile15",79.8,13.3,173,-17301,2014,7.5,-200.01,0.12,-1,36.2
"274","aarcilla24",52.6,17.4,253,-3484,1849,1.1,-27.54,0.07,-0.14,36
"275","aardvark2720",0,0,2,-52,5,0,-52,0.02,-0.26,0
"276","Aaron111518",100,100,2,-50,0,NA,-25,0,-0.25,NA
"277","aaron4468",40.7,1.2,81,-7800,969,0,-57.17,0.12,-0.96,34.3
"278","AaronJudge99",38.9,22.2,18,1719,110,0,191,0.06,0.96,75
"279","AaronL13",64.3,7.1,14,1428,123,0,204,0.09,1.02,60
"280","aaronmermel555",38,31,71,48682,1226,14.3,171.52,0.17,6.86,64.7
"281","aaryaborgata",72.5,43.1,51,-22219,985,47.4,-565.59,0.19,-4.36,51.7
"282","aasadorian",36.9,0,65,-8276,745,0,-127.32,0.11,-1.27,38.7
"283","aashishpm",35.9,4.4,407,4079,3036,1.7,17.06,0.07,0.1,36.7
"284","AAWildCardAA",20.2,4.8,124,-2067,1009,5.3,-33.34,0.08,-0.17,34.4
"285","AAZ_CRACK",7.1,0,14,-1000,172,0,-35.71,0.12,-0.71,0
"286","ab51194",46.1,9.5,4382,-29045,33338,2.4,-11.65,0.08,-0.07,38.8
"287","Abarone91",64,0,89,-10558,1162,0,-150.03,0.13,-1.19,38.9
"288","Abbeytots",58.3,25,12,-7620,217,20,-789.42,0.18,-6.35,12.5
"289","abbott",66.7,16.7,6,-1884,57,0,-628,0.09,-3.14,0
"290","abbybaby418",43.4,7.2,221,-13372,1408,3.6,-113.32,0.06,-0.61,40
"291","abbycatmeow",34.5,22.4,290,7010,4524,8.2,-33.98,0.16,0.24,49.4
"292","abbynrmyl",63.7,12.1,91,-4552,1742,5.7,-50.02,0.19,-0.5,40
"293","abbywar",50,0,8,-450,24,0,-112.5,0.03,-0.56,0
"294","abcamp_37",46.2,4.6,130,-12881,915,2.6,-198.17,0.07,-0.99,27
"295","abdul386",42.6,11.1,108,2137,977,5,48.19,0.09,0.2,36.4
"296","Abdullapuram",74.3,11.9,101,-20656,1736,3.2,-239.38,0.17,-2.05,39.7
"297","abe__froman",40,20,5,-296,15,0,-118.4,0.03,-0.59,50
"298","abe_fromen",25,0,4,-2400,92,0,-300,0.23,-6,0
"299","abe001207",0,0,2,-200,18,0,-50,0.09,-1,NA
"300","abe1207",21.1,0,19,-2055,248,0,-108.16,0.13,-1.08,0
"301","abec22",37,5.9,135,-3374,992,4,-50.47,0.07,-0.25,34
"302","abecsix",25,7.1,28,-7077,257,0,-254.54,0.09,-2.53,0
"303","abepitre",37.8,3.7,601,1301,6048,2.1,7.44,0.1,0.02,36.3
"304","Abernik82",63.4,16.4,134,-64770,3435,5.8,-180.8,0.26,-4.83,35.1
"305","Aberowitz88",49.4,27.1,170,-9525,2547,7.3,-31.06,0.15,-0.56,35.7
"306","aberowitz92",0,0,1,0,42,0,0,0.42,0,NA
"307","abest1199",28.4,15.2,545,-18204,5799,5.8,-33.68,0.11,-0.33,42.9
"308","abewins973",42.2,4.7,810,-35726,6189,0.8,-83.27,0.08,-0.44,31.6
"309","abh_reds7",54.2,20.8,24,-1907,243,12.5,-79.46,0.1,-0.79,45.5
"310","abh247",43.8,0,16,-1172,178,0,-146.5,0.11,-0.73,16.7
"311","AbhiMad",50,16.7,6,-1500,112,NA,-500,0.19,-2.5,50
"312","abhip77",0,0,1,-100,0,NA,-50,0,-1,NA
"313","abhishek_m",38.1,16.7,42,643,297,0,30.62,0.07,0.15,43.8
"314","abidumar",44.8,6.9,29,6788,337,0,468.14,0.12,2.34,60
"315","abillsfan2001",47.8,21.5,680,18206,8453,4.9,18.56,0.12,0.27,43.7
"316","abitbarrelly",29.4,11.8,17,1924,65,16.7,56.65,0.04,1.13,100
"317","abnormality",35.3,30.6,85,-3811,312,22.2,-89.67,0.04,-0.45,58.8
"318","abny777",32.2,14.5,379,4073,2778,3.6,26.79,0.07,0.11,43.7
"319","ABoogie",37.1,27.4,62,-3682,807,18.8,-59.39,0.13,-0.59,38.1
"320","aboumiles",69.2,38.5,13,15,158,NA,2.31,0.12,0.01,22.2
"321","About3",75,0,4,-1700,43,0,-425,0.11,-4.25,0
"322","abrafi",30.3,12.8,234,26246,1574,9.3,115.29,0.07,1.12,48.3
