"","playername","vpip","pfr","total_hands","money_won","rake","threebet","bb_per_100","total_rake_100","money_won_100","wwsf"
"29334","P8_189019QG",7.1,7.1,28,-1200,216,0,-21.43,0.08,-0.43,0
"29335","P8_191818DQ",14.3,0,14,-445,49,0,-31.79,0.03,-0.32,50
"29336","P8_191943GY",26.2,11.9,42,-7450,676,0,-88.71,0.16,-1.77,36.4
"29337","P8_191999QM",22.7,9.1,22,-2998,105,0,-136.27,0.05,-1.36,25
"29338","P8_193861FO",0,0,3,-150,8,0,-50,0.03,-0.5,NA
"29339","P8_195504KE",47.6,19,21,21685,316,10,516.33,0.15,10.33,60
"29340","P8_198792PY",32.7,2,49,8757,434,0,178.71,0.09,1.79,50
"29341","P8_200053TB",33.3,0,18,315,152,0,17.5,0.08,0.18,33.3
"29342","P8_200380JW",10,0,10,25,135,0,2.5,0.14,0.02,100
"29343","P8_200524GO",13.3,13.3,15,825,260,0,27.53,0.17,0.55,100
"29344","P8_201613OU",28,12,25,205,269,0,8.2,0.11,0.08,20
"29345","P8_202740DH",16.7,0,6,-9300,193,NA,-775,0.32,-15.5,0
"29346","P8_204956DL",30,0,20,-10000,138,0,-500,0.07,-5,28.6
"29347","P8_205196RV",25,25,8,-1000,91,0,-62.5,0.11,-1.25,0
"29348","P8_207131KG",25,17.9,28,5030,355,0,89.82,0.13,1.8,25
"29349","P8_207856NN",100,100,2,-1989,36,NA,-497.5,0.18,-9.95,0
"29350","P8_207980UY",25,0,8,900,150,0,56.25,0.19,1.12,50
"29351","P8_208095KL",25,25,4,-150,44,0,-18.75,0.11,-0.38,50
"29352","P8_210966QN",25,0,4,-700,20,0,-87.5,0.05,-1.75,0
"29353","P8_213036QM",29.8,8.5,47,4630,1080,4.8,49.26,0.23,0.99,33.3
"29354","P8_213241KC",66.7,33.3,3,1770,34,0,590,0.11,5.9,100
"29355","P8_213817RJ",6.2,6.2,16,-550,143,0,-34.38,0.09,-0.34,0
"29356","P8_215275WE",50,12.5,8,-630,87,0,-39.38,0.11,-0.79,NA
"29357","P8_216208VD",0,0,2,-100,33,NA,-50,0.16,-0.5,NA
"29358","P8_217453AY",25,25,16,955,145,0,29.88,0.09,0.6,50
"29359","P8_218702DG",30,20,10,3840,86,0,384,0.09,3.84,66.7
"29360","P8_221048FC",31.2,18.8,16,-2238,211,0,-139.88,0.13,-1.4,33.3
"29361","P8_221224HJ",8.3,0,12,-735,192,0,-30.67,0.16,-0.61,0
"29362","P8_221657WU",13,8.7,23,1375,251,0,59.78,0.11,0.6,66.7
"29363","P8_224791PB",18.5,14.8,27,-1400,321,0,-25.93,0.12,-0.52,33.3
"29364","P8_225286FW",11.1,11.1,9,200,67,0,11.11,0.07,0.22,NA
"29365","P8_227657SC",0,0,9,-150,72,0,-16.67,0.08,-0.17,NA
"29366","P8_228159OT",47.1,0,17,-10000,381,0,-294.12,0.22,-5.88,12.5
"29367","P8_228282IH",66.7,50,6,1665,187,66.7,138.67,0.31,2.77,50
"29368","P8_229460KY",0,0,1,-200,0,0,-100,0,-2,NA
"29369","P8_229542ND",100,0,1,960,11,NA,960,0.11,9.6,100
"29370","P8_230144QW",17.6,5.9,17,5185,195,0,152.53,0.11,3.05,100
"29371","P8_230372KM",28.1,18.8,32,814,373,0,12.75,0.12,0.25,66.7
"29372","P8_230387FL",20,13.3,15,3650,188,0,121.67,0.13,2.43,33.3
"29373","P8_230481XD",25,12.5,8,200,53,0,12.5,0.07,0.25,0
"29374","P8_231847GL",40,20,5,1340,102,0,134,0.2,2.68,33.3
"29375","P8_232288MS",100,0,3,240,45,0,40,0.15,0.8,33.3
"29376","P8_234814KY",10.5,10.5,19,1744,139,0,91.79,0.07,0.92,100
"29377","P8_235481KG",26.7,20,15,1580,106,0,52.67,0.07,1.05,50
